"borough" "neighborhood" "building.class.category" "tax.class.at.present" "block" "lot" "ease.ment" "building.class.at.present" "address" "apartment.number" "zip.code" "residential.units" "commercial.units" "total.units" "land.square.feet" "gross.square.feet" "year.built" "tax.class.at.time.of.sale" "building.class.at.time.of.sale" "sale.price" "sale.date" "sale.price.n" "gross.sqft" "land.sqft" "outliers"
"2" 4 "AIRPORT LA GUARDIA       " "01  ONE FAMILY DWELLINGS                    " "1" 976 13 NA "A5" "21-16 81ST   STREET                      " "            " 11370 1 0 1 " 1,800 " " 1,224 " 1950 1 "A5" " 620,000 " "10/6/2015" 620000 1224 1800 0
"3" 4 "AIRPORT LA GUARDIA       " "01  ONE FAMILY DWELLINGS                    " "1" 976 61 NA "A5" "21-21 80TH   STREET                      " "            " 11370 1 0 1 " 1,800 " " 1,224 " 1950 1 "A5" " 660,000 " "7/26/2016" 660000 1224 1800 0
"5" 4 "AIRPORT LA GUARDIA       " "03  THREE FAMILY DWELLINGS                  " "1" 949 15 NA "C0" "19-08 81ST   STREET                      " "            " 11370 3 0 3 " 2,112 " " 4,300 " 1985 1 "C0" " 940,000 " "4/14/2016" 940000 4300 2112 0
"7" 4 "AIRPORT LA GUARDIA       " "03  THREE FAMILY DWELLINGS                  " "1" 949 59 NA "C0" "19-63 80TH STREET                        " "            " 11370 3 0 3 " 2,000 " " 2,835 " 1945 1 "C0" " 470,000 " "4/15/2016" 470000 2835 2000 0
"9" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15828 53 NA "A1" "303 BEACH 38TH STREET                    " "            " 11691 1 0 1 " 3,810 " " 1,200 " 2002 1 "A1" " 273,710 " "2/29/2016" 273710 1200 3810 0
"10" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15829 22 NA "A1" "332 BEACH 40TH STREET                    " "            " 11691 1 0 1 " 2,670 " " 1,480 " 2005 1 "A1" " 310,000 " "8/18/2016" 310000 1480 2670 0
"12" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15830 60 NA "A6" "319 BEACH 40 STREET                      " "            " 11691 1 0 1 " 2,170 " " 480 " 1920 1 "A6" " 46,335 " "4/4/2016" 46335 480 2170 0
"13" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15831 24 NA "A2" "331 BEACH 41ST STREET                    " "            " 11691 1 0 1 " 3,804 " " 1,600 " 1930 1 "A2" " 359,000 " "5/4/2016" 359000 1600 3804 0
"14" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15837 17 NA "A6" "334 BEACH 46 STREET                      " "            " 11691 1 0 1 " 3,804 " " 745 " 1925 1 "A6" " 289,000 " "1/19/2016" 289000 745 3804 0
"15" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15849 22 NA "A6" "40-01 ROCKAWAY BEACH BLVD                " "            " 11691 1 0 1 " 2,626 " " 618 " 1920 1 "A6" " 107,315 " "5/13/2016" 107315 618 2626 0
